Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Josh Allen (19700974),Josh Allen,19700974,CPT,19200,BUF@TEN 10/18/2021 08:15PM ET,BUF,27.32
RB,Derrick Henry (19700975),Derrick Henry,19700975,CPT,17100,BUF@TEN 10/18/2021 08:15PM ET,TEN,29.3
QB,Ryan Tannehill (19700976),Ryan Tannehill,19700976,CPT,14700,BUF@TEN 10/18/2021 08:15PM ET,TEN,18.41
WR,Stefon Diggs (19700977),Stefon Diggs,19700977,CPT,14400,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.88
WR,Emmanuel Sanders (19700978),Emmanuel Sanders,19700978,CPT,12900,BUF@TEN 10/18/2021 08:15PM ET,BUF,15.18
QB,Josh Allen (19701028),Josh Allen,19701028,FLEX,12800,BUF@TEN 10/18/2021 08:15PM ET,BUF,27.32
WR,A.J. Brown (19700979),A.J. Brown,19700979,CPT,11700,BUF@TEN 10/18/2021 08:15PM ET,TEN,7.32
RB,Derrick Henry (19701029),Derrick Henry,19701029,FLEX,11400,BUF@TEN 10/18/2021 08:15PM ET,TEN,29.3
TE,Dawson Knox (19700980),Dawson Knox,19700980,CPT,11400,BUF@TEN 10/18/2021 08:15PM ET,BUF,15.42
RB,Zack Moss (19700981),Zack Moss,19700981,CPT,10500,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.7
WR,Julio Jones (19700982),Julio Jones,19700982,CPT,9900,BUF@TEN 10/18/2021 08:15PM ET,TEN,11.8
QB,Ryan Tannehill (19701030),Ryan Tannehill,19701030,FLEX,9800,BUF@TEN 10/18/2021 08:15PM ET,TEN,18.41
WR,Stefon Diggs (19701031),Stefon Diggs,19701031,FLEX,9600,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.88
QB,Jake Fromm (19700983),Jake Fromm,19700983,CPT,9000,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
QB,Matt Barkley (19700984),Matt Barkley,19700984,CPT,9000,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
QB,Davis Webb (19700985),Davis Webb,19700985,CPT,9000,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
QB,Logan Woodside (19700986),Logan Woodside,19700986,CPT,9000,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
QB,Mitchell Trubisky (19700987),Mitchell Trubisky,19700987,CPT,9000,BUF@TEN 10/18/2021 08:15PM ET,BUF,3.02
WR,Emmanuel Sanders (19701032),Emmanuel Sanders,19701032,FLEX,8600,BUF@TEN 10/18/2021 08:15PM ET,BUF,15.18
WR,Cole Beasley (19700988),Cole Beasley,19700988,CPT,8100,BUF@TEN 10/18/2021 08:15PM ET,BUF,9.5
WR,A.J. Brown (19701033),A.J. Brown,19701033,FLEX,7800,BUF@TEN 10/18/2021 08:15PM ET,TEN,7.32
TE,Dawson Knox (19701034),Dawson Knox,19701034,FLEX,7600,BUF@TEN 10/18/2021 08:15PM ET,BUF,15.42
DST,Bills  (19700989),Bills ,19700989,CPT,7200,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.2
RB,Zack Moss (19701035),Zack Moss,19701035,FLEX,7000,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.7
RB,Devin Singletary (19700990),Devin Singletary,19700990,CPT,6900,BUF@TEN 10/18/2021 08:15PM ET,BUF,8.92
WR,Julio Jones (19701036),Julio Jones,19701036,FLEX,6600,BUF@TEN 10/18/2021 08:15PM ET,TEN,11.8
WR,Chester Rogers (19700991),Chester Rogers,19700991,CPT,6600,BUF@TEN 10/18/2021 08:15PM ET,TEN,7.56
QB,Jake Fromm (19701037),Jake Fromm,19701037,FLEX,6000,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
QB,Matt Barkley (19701038),Matt Barkley,19701038,FLEX,6000,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
QB,Davis Webb (19701039),Davis Webb,19701039,FLEX,6000,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
QB,Logan Woodside (19701040),Logan Woodside,19701040,FLEX,6000,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
QB,Mitchell Trubisky (19701041),Mitchell Trubisky,19701041,FLEX,6000,BUF@TEN 10/18/2021 08:15PM ET,BUF,3.02
TE,Anthony Firkser (19700992),Anthony Firkser,19700992,CPT,6000,BUF@TEN 10/18/2021 08:15PM ET,TEN,5.5
WR,Cole Beasley (19701042),Cole Beasley,19701042,FLEX,5400,BUF@TEN 10/18/2021 08:15PM ET,BUF,9.5
DST,Titans  (19700993),Titans ,19700993,CPT,5400,BUF@TEN 10/18/2021 08:15PM ET,TEN,4.2
K,Tyler Bass (19700994),Tyler Bass,19700994,CPT,5100,BUF@TEN 10/18/2021 08:15PM ET,BUF,10.8
DST,Bills  (19701043),Bills ,19701043,FLEX,4800,BUF@TEN 10/18/2021 08:15PM ET,BUF,14.2
K,Sam Ficken (19700995),Sam Ficken,19700995,CPT,4800,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
K,Randy Bullock (19700996),Randy Bullock,19700996,CPT,4800,BUF@TEN 10/18/2021 08:15PM ET,TEN,9.75
RB,Devin Singletary (19701044),Devin Singletary,19701044,FLEX,4600,BUF@TEN 10/18/2021 08:15PM ET,BUF,8.92
RB,Jeremy McNichols (19700997),Jeremy McNichols,19700997,CPT,4500,BUF@TEN 10/18/2021 08:15PM ET,TEN,8.56
WR,Chester Rogers (19701045),Chester Rogers,19701045,FLEX,4400,BUF@TEN 10/18/2021 08:15PM ET,TEN,7.56
TE,Anthony Firkser (19701046),Anthony Firkser,19701046,FLEX,4000,BUF@TEN 10/18/2021 08:15PM ET,TEN,5.5
DST,Titans  (19701047),Titans ,19701047,FLEX,3600,BUF@TEN 10/18/2021 08:15PM ET,TEN,4.2
K,Tyler Bass (19701048),Tyler Bass,19701048,FLEX,3400,BUF@TEN 10/18/2021 08:15PM ET,BUF,10.8
K,Sam Ficken (19701049),Sam Ficken,19701049,FLEX,3200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
K,Randy Bullock (19701050),Randy Bullock,19701050,FLEX,3200,BUF@TEN 10/18/2021 08:15PM ET,TEN,9.75
RB,Jeremy McNichols (19701051),Jeremy McNichols,19701051,FLEX,3000,BUF@TEN 10/18/2021 08:15PM ET,TEN,8.56
WR,Gabriel Davis (19700998),Gabriel Davis,19700998,CPT,3000,BUF@TEN 10/18/2021 08:15PM ET,BUF,3.58
WR,Marcus Johnson (19700999),Marcus Johnson,19700999,CPT,2100,BUF@TEN 10/18/2021 08:15PM ET,TEN,8.2
WR,Gabriel Davis (19701052),Gabriel Davis,19701052,FLEX,2000,BUF@TEN 10/18/2021 08:15PM ET,BUF,3.58
WR,Nick Westbrook-Ikhine (19701000),Nick Westbrook-Ikhine,19701000,CPT,1800,BUF@TEN 10/18/2021 08:15PM ET,TEN,5.95
WR,Marcus Johnson (19701053),Marcus Johnson,19701053,FLEX,1400,BUF@TEN 10/18/2021 08:15PM ET,TEN,8.2
WR,Nick Westbrook-Ikhine (19701054),Nick Westbrook-Ikhine,19701054,FLEX,1200,BUF@TEN 10/18/2021 08:15PM ET,TEN,5.95
TE,MyCole Pruitt (19701001),MyCole Pruitt,19701001,CPT,900,BUF@TEN 10/18/2021 08:15PM ET,TEN,4.36
TE,MyCole Pruitt (19701055),MyCole Pruitt,19701055,FLEX,600,BUF@TEN 10/18/2021 08:15PM ET,TEN,4.36
WR,Josh Reynolds (19701002),Josh Reynolds,19701002,CPT,600,BUF@TEN 10/18/2021 08:15PM ET,TEN,4.57
