Name,Position,Team,Opponent,DK OF,FD OF,DK CPT,DK Flex,FD Flex,DK CPT Projected Ownership,DK Projected Ownership,FD MVP Projected Ownership,FD Projected Ownership,Line,Line Move,Total,Team Total,Team Total Move
Stefon Diggs,WR,BUF,TEN,159.6,28.1,"$14,400.00","$9,600.00","$12,500.00",13.00%,44.00%,5.00%,46.00%,-6,-1,52.5,29.25,0.25
A.J. Brown,WR,TEN,BUF,47.6,19.2,"$11,700.00","$7,800.00","$11,500.00",8.00%,36.00%,2.00%,37.00%,6,1,52.5,23.25,-0.75
Josh Allen,QB,BUF,TEN,65.7,50.7,"$19,200.00","$12,800.00","$17,000.00",26.00%,57.00%,51.00%,34.00%,-6,-1,52.5,29.25,0.25
Derrick Henry,RB,TEN,BUF,1141.7,47.6,"$17,100.00","$11,400.00","$15,500.00",13.00%,36.00%,25.00%,39.00%,6,1,52.5,23.25,-0.75
Ryan Tannehill,QB,TEN,BUF,44.3,44.3,"$14,700.00","$9,800.00","$14,000.00",5.00%,36.00%,9.00%,38.00%,6,1,52.5,23.25,-0.75
Emmanuel Sanders,WR,BUF,TEN,42.2,18.7,"$12,900.00","$8,600.00","$10,000.00",10.00%,24.00%,0.00%,28.00%,-6,-1,52.5,29.25,0.25
Julio Jones,WR,TEN,BUF,37.4,20.7,"$9,900.00","$6,600.00","$11,000.00",4.00%,25.00%,1.00%,21.00%,6,1,52.5,23.25,-0.75
Cole Beasley,WR,BUF,TEN,88.9,17.2,"$8,100.00","$5,400.00","$7,500.00",2.00%,31.00%,0.00%,22.00%,-6,-1,52.5,29.25,0.25
Dawson Knox,TE,BUF,TEN,32.1,11.4,"$11,400.00","$7,600.00","$9,000.00",7.00%,18.00%,0.00%,31.00%,-6,-1,52.5,29.25,0.25
Buffalo Bills,D,BUF,TEN,29.5,0,"$7,200.00","$4,800.00",$0.00,0.00%,9.00%,0.00%,0.00%,-6,-1,52.5,0,0
Zack Moss,RB,BUF,TEN,28.6,27.5,"$10,500.00","$7,000.00","$9,500.00",6.00%,16.00%,4.00%,25.00%,-6,-1,52.5,29.25,0.25
Tennessee Titans,D,TEN,BUF,28.6,0,"$5,400.00","$3,600.00",$0.00,0.00%,3.00%,0.00%,0.00%,6,1,52.5,0,0
Anthony Firkser,TE,TEN,BUF,26.4,12.6,"$6,000.00","$4,000.00","$6,000.00",0.00%,14.00%,0.00%,7.00%,6,1,52.5,23.25,-0.75
Devin Singletary,RB,BUF,TEN,26.2,23.8,"$6,900.00","$4,600.00","$8,000.00",2.00%,27.00%,3.00%,15.00%,-6,-1,52.5,29.25,0.25
Jeremy McNichols,RB,TEN,BUF,19.9,15.9,"$4,500.00","$3,000.00","$7,500.00",0.00%,9.00%,0.00%,4.00%,6,1,52.5,23.25,-0.75
Tyler Bass,K,BUF,TEN,20.4,16.6,"$5,100.00","$3,400.00","$9,000.00",0.00%,25.00%,0.00%,14.00%,-6,-1,52.5,29.25,0.25
Randy Bullock,K,TEN,BUF,13.3,13.7,"$4,800.00","$3,200.00","$8,000.00",0.00%,20.00%,0.00%,9.00%,6,1,52.5,23.25,-0.75
Reggie Gilliam,RB,BUF,TEN,7.3,6.3,$300.00,$200.00,"$5,000.00",0.00%,1.00%,0.00%,1.00%,-6,-1,52.5,29.25,0.25
Khari Blasingame,RB,TEN,BUF,6.9,5.5,$300.00,$200.00,"$5,000.00",0.00%,1.00%,0.00%,0.00%,6,1,52.5,23.25,-0.75
Chester Rogers,WR,TEN,BUF,2.8,0.7,"$6,600.00","$4,400.00","$7,000.00",0.00%,9.00%,0.00%,2.00%,6,1,52.5,23.25,-0.75
MyCole Pruitt,TE,TEN,BUF,2.3,1,$900.00,$600.00,"$5,500.00",0.00%,1.00%,0.00%,1.00%,6,1,52.5,23.25,-0.75
Geoff Swaim,TE,TEN,BUF,2.2,1,$300.00,$200.00,"$5,000.00",0.00%,1.00%,0.00%,1.00%,6,1,52.5,23.25,-0.75
Isaiah McKenzie,WR,BUF,TEN,2.1,0.4,$300.00,$200.00,"$5,500.00",0.00%,10.00%,0.00%,2.00%,-6,-1,52.5,29.25,0.25
Josh Reynolds,WR,TEN,BUF,2.1,0.3,$600.00,$400.00,"$7,000.00",0.00%,2.00%,0.00%,1.00%,6,1,52.5,23.25,-0.75
Gabriel Davis,WR,BUF,TEN,2,0.4,"$3,000.00","$2,000.00","$6,000.00",0.00%,30.00%,0.00%,18.00%,-6,-1,52.5,29.25,0.25
Jake Kumerow,WR,BUF,TEN,2,0.2,$300.00,$200.00,"$5,000.00",0.00%,4.00%,0.00%,1.00%,-6,-1,52.5,29.25,0.25
Tommy Sweeney,TE,BUF,TEN,22.5,0,$300.00,$200.00,"$5,000.00",0.00%,1.00%,0.00%,0.00%,-6,-1,52.5,29.25,0.25
Marcus Johnson,WR,TEN,BUF,1.1,1.5,"$2,100.00","$1,400.00","$6,000.00",0.00%,1.00%,0.00%,3.00%,6,1,52.5,23.25,-0.75
